abeierbianhuan 阿贝尔变换
bandanchunfuxing 半单纯复形
bandanchunyingshe 半单纯映射
bandancu 半单簇
bandandaishu 半单代数
bandandaishuqun 半单代数群
bandanfandaishu 半单泛代数
bandanhuan 半单环
bandanlidaishu 半单李代数
bandanliqun 半单李群
bandanmo 半单模
bandanqun 半单群
bandanruoerdangdaishu 半单若尔当代数
bandanxianxingbianhuan 半单线性变换
bandanyuan 半单元
bandanzhi 半单秩
bandiedaifa 半迭代法
bandingbianfenwenti 半定变分问题
bandingercixingshi 半定二次形式
bandinghe 半定核
bandingjuzhen 半定矩阵
bandingsuanzi 半定算子
banduliang 半度量
banduanzhou 半短轴
banduichen 半对称
banduishubiaoshi 半对数表示
banduishutu 半对数图
banfanshu 半范数
banfudingercixingshi 半负定二次形式
banfudingxing 半负定型
banfuleidehuomusuanzi 半弗雷德霍姆算子
bange 半格
banguanzhou 半贯轴
banhuan 半环
banhuanfang 半幻方
banjiji 半极集
banjiaxingfanchou 半加性范畴
banjiao 半角
banjiaogongshi 半角公式
banjiexijihe 半解析集合
banjing 半径
banjubudanliantong 半局部单连通
banjubuhuan 半局部环
bankaibanbiqujian 半开半闭区间
bankongjian 半空间
banlengzhuiti 半棱锥体
banlisanfa 半离散法
banlisanhua 半离散化
banlianxu 半连续
banlianxudian 半连续点
banlianxuhanshu 半连续函数
banlianxutong 半连续统
banlianxuxing 半连续性
banliangxuji 半良序集
banlinyu 半邻域
banliu 半流
banmoge 半模格
banmoxing 半模性
banneiji 半内积
banpingmian 半平面
banqianghanshu 半强函数
banqiexian 半切线
banqiu 半球
banqiumian 半球面
banqiuxing 半球形
banqun 半群
banqundaishu 半群代数
banqunhuan 半群环
banqunraodong 半群扰动
banruohanshu 半弱函数
bansancipaowuxian 半三次抛物线
banshoulianjishu 半收敛级数
banshuangxianxingfanhan 半双线性泛函
banshuangxianxingxing 半双线性型
banshuangxianxingxingshi 半双线性形式
bansiyuanshu 半四元数
bansuhuan 半素环
bansulixiang 半素理想
bansui 伴随
bansuibianzhiwenti 伴随边值问题
bansuibiaoshi 伴随表示
bansuichafenfangcheng 伴随差分方程
bansuiguocheng 伴随过程
bansuihanshu 伴随函数
bansuihanzi 伴随函子
bansuihanglieshi 伴随行列式
bansuihe 伴随核
bansuijifenfangcheng 伴随积分方程
bansuijuzhen 伴随矩阵
bansuikongjian 伴随空间
bansuilidaishu 伴随李代数
bansuimengtekaluofangfa 伴随蒙特卡罗方法
bansuiqumian 伴随曲面
bansuiqun 伴随群
bansuisuanzi 伴随算子
bansuitongjigujifangfa 伴随统计估计方法
bansuiweifenfangcheng 伴随微分方程
bansuiweifenshi 伴随微分式
bansuiweifensuanzi 伴随微分算子
bansuixi 伴随系
bansuixierbotewenti 伴随希耳伯特问题
bansuixianxingyingshe 伴随线性映射
bansuixiangliang 伴随向量
bansuixingshi 伴随形式
bansuiyingshe 伴随映射
bansuizhen 伴随阵
bansuizhishubianhuanfangfa 伴随指数变换方法
bantonglu 半通路
banwanmanhuan 半完满环
banwendingjixianhuan 半稳定极限环
banwuxianpingmian 半无限平面
banxianxingbianhuan 半线性变换
banxianxingdaihuan 半线性代换
banxianxingpianweifenfangcheng 半线性偏微分方程
banxianxingtonggou 半线性同构
banxianxingyingshe 半线性映射
banxuji 半序集
banxukongjian 半序空间
banyang 半鞅
banyangben 半样本
banyichuanhuan 半遗传环
banyizhikongjian 半一致空间
banyingeshi 半隐格式
banyoujiesuanzi 半有界算子
banyouxianji 半有限迹
banyouxu 半有序
banyouxubanahekongjian 半有序巴拿赫空间
banyouxuji 半有序集
banyu 半域
banyuan 半圆
banyuanyu 半圆域
banzhengdingxing 半正定型
banzhengguisuanzi 半正规算子
banzhengshi 半正矢
banzhengshuquanmoxingshi 半整数权模形式
banzhengzedian 半正则点
banzhengzekongjian 半正则空间
banzhengzetuopu 半正则拓扑
banzhiji 半直积
banzhixian 半直线
banzhongzhou 半中轴
banzhou 半轴
banzhouqi 半周期
banzhunsuhuan 半准素环
banzifanjubutukongjian 半自反局部凸空间
banzifankongjian 半自反空间
banzifanxing 半自反性
banggoucheng 棒构成
bangxi 傍系
bangxian 蚌线
baobingtongtai 保并同态
baocebianhuan 保测变换
baochidingxiangtonggou 保持定向同构
baochidingxiangzitonggou 保持定向自同构
baochouhanshu 报酬函数
baocun 保存
baodantiaochafengeshi 保单调差分格式
baoershuangdiedai 鲍尔双迭代
baoershuangdiedaifa 鲍尔双迭代法
baofanyingshe 保范映射
baogaobaobiao 报告报表
baoguanfei 保管费
baohan 包含
baohanguanxi 包含关系
baohanhanzi 包含函子
baohanyingshe 包含映射
baohanyupaichiyuanli 包含与排斥原理
baohedingdian 饱和顶点
baohelei 饱和类
baohemoxing 饱和模型
baohequxian 饱和曲线
baoheshousuo 保核收缩
baohetuopu 包核拓扑
baojihanzi 保积函子
baojiaosushi 保角素示
baojiaotongtaixiang 保交同态像
baojiaoyingshe 保角映射
baojiaoyingxiang 保角映象
baojutonggou 保距同构
baojuyingshe 保距映射
baoludian 暴露点
baolufangxiang 暴露方向
baolumian 暴露面
baolushexian 暴露射线
baoluodaishu 包络代数
baoluohuan 包络环
baoluomian 包络面
baoluoxian 包络线
baomiliang 保密量
baomitizhi 保密体制
baomixue 保密学
baomianjiyingshe 保面积映射
baoqiang 胞腔
baoqiangbijin 胞腔逼近
baoqiangfuxing 胞腔复形
baoqiangkongjian 胞腔空间
baoqiangpoufen 胞腔剖分
baoqiangshangtongdao 胞腔上同岛
baoqiangshangtongdiao 胞腔上同调
baoqiangshangtongtiaoqun 胞腔上同调群
baoqiangshitonglun 胞腔式同伦
baoqiangtongdiaoqun 胞腔同调群
baoqiangtonglun 胞腔同伦
baoqiangyingshe 胞腔映射
baoqiangzifuxing 胞腔子复形
baoshouli 保守力
baoshoulichang 保守力场
baoshousuanzi 保守算子
baoweierfa 鲍威尔法
baoxian 保险
baoxianshuxue 保险数学
baoxianyansuan 保险演算
baoxianyingshe 保纤映射
baoxiangyingshe 保向映射
baoxingcedixian 保形测地线
baoxingjihe 保形几何
baoxingliantongliao 保形连通廖
baoxingqulvzhangliang 保形曲率张量
baoxingsheying 保形射影
baoxingweifenjihexue 保形微分几何学
baoxingyingshe 保形映射
baoxubianhuan 保序变换
baoxudansheyingshe 保序单射映射
baoxuduiying 保序对应
baoxufuzhi 保序赋值
baoxuguanxi 保序关系
baoxuhanshu 保序函数
baoxutonggou 保序同构
baoxuxing 保序性
baoxuyingshe 保序映射
baozhashi 爆炸时
baozhuisuanzi 保锥算子
beibijinhanshu 被逼近函数
beichengshu 被乘数
beichushu 被除数
beidiqun 贝蒂群
beidishu 贝蒂数
beidingyizhe 被定义者
beierhanshu 贝尔函数
beierkongjian 贝尔空间
beiermanfangcheng 贝尔曼方程
beiermanyuanli 贝尔曼原理
beiersikongjian 贝尔斯空间
beiersituodiedaifa 贝尔斯托迭代法
beiertelamifangcheng 贝尔特拉米方程
beifabianhuan 倍法变换
beijihanshu 被积函数
beijiashu 被加数
beijianshu 被减数
beijiaogongshi 倍角公式
beikaifangshu 被开方数
beike 贝克
beikelongbianhuan 贝克隆变换
beilicedu 贝利测度
beilidingli 贝利定理
beilifang 倍立方
beilihanshu 贝利函数
beiliji 贝利集
beilikongjian 贝利空间
beilun 悖论
beisaierbianhuan 贝塞尔变换
beisaierbudengshi 贝塞耳不等式
beisaierbudengshi 贝塞尔不等式
beisaierfangcheng 贝塞耳方程
beisaierhanshu 贝塞耳函数
beisaierjifen 贝塞耳积分
beisaierjifen 贝塞尔积分
beisaierjishu 贝塞尔级数
beisaierweifenfangcheng 贝塞尔微分方程
beishi 倍式
beishu 倍数
beitafenbu 贝塔分布
beitu 倍图
beiwujiaoguize 北午角规则
beiyesifenleiguize 贝叶斯分类规则
beiyesifengxian 贝叶斯风险
beiyesigongshe 贝叶斯公设
beiyesigongshi 贝叶斯公式
beiyesiguji 贝叶斯估计
beiyesijie 贝叶斯解
beiyesijuecehanshu 贝叶斯决策函数
beiyesipandinghanshu 贝叶斯判定函数
beiyesiqujianguji 贝叶斯区间估计
beiyesitongji 贝叶斯统计
beizejiashe 备择假设
bendikesongdingli 本迪克松定理
benxingqidian 本性奇点
benxingqihe 本性奇核
benxingshangquejie 本性上确界
benxingxiaquejie 本性下确界
benyuan 本元
benyuanduoxiangshi 本原多项式
benyuanfangcheng 本原方程
benyuanhuan 本原环
benyuanlixiang 本原理想
benyuanmidengyuan 本原幂等元
benyuanqun 本原群
benyuanyuan 本原元
benyuanyuansu 本原元素
benzhaishuzhankai 本寨数展开
benzhaojian 本照间
benzhaokongjian 本沼空间
benzhengkongjian 本征空间
benzhengxiangliang 本征向量
benzhengxiangliangzhankaishi 本征向量展开式
benzhengzhi 本征值
benzhengzhifangcheng 本征值方程
benzhengzhiwenti 本征值问题
benzhibianjietiaojian 本质边界条件
benzhibukepandingxing 本质不可判定性
benzhibuzhendang 本质不振荡
benzhicanshu 本质参数
benzhicelue 本质策略
benzhidantongtai 本质单同态
benzhidian 本质点
benzhiduice 本质对策
benzhikaituo 本质开拓
benzhimanshe 本质满射
benzhipu 本质谱
benzhiqidian 本质奇点
benzhishangquejie 本质上确界
benzhishoulian 本质收敛
benzhishoulianxulie 本质收敛序列
benzhitongtai 本质同态
benzhiwanquanlei 本质完全类
benzhiyangetu 本质严格凸
benzhiyoujie 本质有界
benzhizibansuanzi 本质自伴算子
bengkuidian 崩溃点
bibankongjian 闭半空间
bibanpingmian 闭半平面
bibao 闭包
bibaosuanzi 闭包算子
bibaoxingzhi 闭包性质
bibaoyouxian 闭包有限
bibaoyunsuan 闭包运算
bibobahecaixiang 比伯巴赫猜想
bicedixian 闭测地线
bichajie 比察捷
bidagelasidingli 毕达哥拉斯定理
bidagelasishu 毕达哥拉斯数
bidagelasiyu 毕达哥拉斯域
bidanxing 闭单形
bideluofufa 彼得罗夫法
bidesongneiji 彼得松内积
bidesongtu 彼得松图
bidengjiaguanxi 闭等价关系
biduichenkuozhang 闭对称扩张
bifugai 闭覆盖
bifuxing 闭复形
bigongshi 闭公式
biguji 比估计
bigujiliang 比估计量
biguidao 闭轨道
bihe 闭核
bihedianlu 闭合电路
bihuanxitong 闭环系统
biji 闭迹
biji 闭集
bijiji 闭集基
bijiao 比较
bijiaodingli 比较定理
bijiaofa 比较法
bijiaohanshu 比较函数
bijiaojianyan 比较检验
bijiaoyongjishu 比较用级数
bijiaoyuanli 比较原理
bijin 逼近
bijindingli 逼近定理
bijinhanshu 逼近函数
bijinjie 逼近阶
bijinlilun 逼近理论
bijinlun 逼近论
bijinru 闭浸入
bijinshi 逼近式
bijinwucha 逼近误差
bijinzhengzeyingshe 逼近正则映射
bikaiji 闭开集
bikuozhang 闭扩张
bili 比例
bilibufen 比例部分
bilichangshu 比例常数
bilichi 比例尺
bilichouyang 比例抽样
bilidisanxiang 比例第三项
bilidingli 比例定理
bilifenliang 比例分量
biligui 比例规
bilijixian 比例极限
bilikongzhi 比例控制
bililiang 比例量
bililun 比例论
bilimanmian 闭黎曼面
bilineixiang 比例内项
bilipeizhi 比例配置
biliwaixiang 比例外项
bilixishu 比例系数
bilixianduan 比例线段
bilizhongxiang 比例中项
bilian 闭链
bilinyu 闭邻域
biliuxing 闭流形
bilu 闭路
bilukongjian 闭路空间
bilvbianlidingli 比率遍历定理
bilvzi 闭滤子
bimu 比姆
bineigongshi 比内公式
biqiaoceng 闭壳层
biqiu 闭球
biqujian 闭区间
biqumian 闭曲面
biquxian 闭曲线
biquanxi 闭圈系
biqun 闭群
biran 必然
biranshijian 必然事件
biranxing 必然性
bire 比热
bishishupingmian 闭实数平面
bishixinqiu 闭实心球
bisuanzi 闭算子
bite 比特
bitu 闭图
bitubao 闭凸包
bitudingli 闭图定理
bituhanshu 闭凸函数
bituxiangdingli 闭图象定理
biweifen 闭微分
bixitong 闭系统
bixianxingliao 闭线性廖
bixianxingsuanzi 闭线性算子
bixiang 闭项
bixing 闭型
bixingjifengongshi 闭型积分公式
bixingxing 闭星形
bixingzichengxu 闭型子程序
biyao 必要
biyaobuchongfentiaojian 必要不充分条件
biyaochongfentongjiliang 必要充分统计量
biyaotiaojian 必要条件
biyingshe 闭映射
biyu 闭域
biyuanpan 闭圆盘
bizhiyudingli 闭值域定理
bizigaixing 闭子概形
biziliqun 闭子李群
biziliuxing 闭子流形
biziqun 闭子群
bianbianbiandingli 边边边定理
bianbie 辨别
bianbuchang 变步长
biancanshuyuanjian 变参数元件
biancha 变差
bianchafanwei 变差范围
bianchaxishu 变差系数
bianchangma 变长码
bianchuanditu 边传递图
biandulishu 边独立数
bianduliangfa 变度量法
bianduichen 边对称
bianfen 变分
bianfenbudengfangcheng 变分不等方程
bianfenbudengshi 变分不等式
bianfendaoshu 变分导数
bianfenfa 变分法
bianfenfangcheng 变分方程
bianfenfangchengzu 变分方程组
bianfenfangfa 变分方法
bianfenwenti 变分问题
bianfenxue 变分学
bianfenyuanli 变分原理
bianfeng 扁峰
bianfugai 边覆盖
bianfugaishu 边覆盖数
biangeji 边割集
bianhanshu 变函数
bianhua 变化
bianhuaxing 变化性
bianhuan 变换
bianhuanfangcheng 变换方程
bianhuanguize 变换规则
bianhuanhanshu 变换函数
bianhuanjuzhen 变换矩阵
bianhuanlun 变换论
bianhuanqun 变换群
bianhuanyinzi 变换因子
bianji 边集
bianjiaobiangongli 边角边公理
bianjie 边界
bianjiebaoqiang 边界胞腔
bianjiebiaoxian 边界表现
bianjieceng 边界层
bianjiedai 边界带
bianjiedanxing 边界单形
bianjiedian 边界点
bianjieduiying 边界对应
bianjiefa 边界法
bianjiegedian 边界格点
bianjieguji 边界估计
bianjiejifenfa 边界积分法
bianjiejiedian 边界结点
bianjiekongzhi 边界控制
bianjieliao 边界廖
bianjiemo 边界模
bianjiepeizhi 边界配置
bianjiequjian 边界区间
bianjiequmian 边界曲面
bianjiequxian 边界曲线
bianjietiaojian 边界条件
bianjietiaojianzhuanyi 边界条件转移
bianjiexingjifengongshi 边界型积分公式
bianjieyuan 边界元
bianjieyuanfa 边界元法
bianjiezhi 边界值
bianlibianhuan 遍历变换
bianlidingli 遍历定理
bianliguocheng 遍历过程
bianlijiashuo 遍历假说
bianlililun 遍历理论
bianlilian 遍历链
bianlimaerkefulian 遍历马尔可夫链
bianlitai 遍历态
bianlixinyuan 遍历信源
bianlixing 遍历性
bianlixingjiashe 遍历性假设
bianliantongdu 边连通度
bianliang 变量
bianliangbianhuan 变量变换
bianliangfanwei 变量范围
bianliangfenlifangcheng 变量分离方程
bianliangshulie 变量数列
bianma 编码
bianmadingli 编码定理
bianmalilun 编码理论
bianmaqi 编码器
bianmazengyi 编码增益
bianqi 编器
bianqun 辫群
bianseshu 边色数
bianshi 辨识
bianshu 变数
bianshuhanshufuhao 变数函数符号
biantiaojian 边条件
biantu 边图
biantuomian 扁椭面
bianxinju 边心距
bianxinxi 边信息
bianxing 变形
bianxingmadiefangcheng 变形马蒂厄方程
bianxingmadiehanshu 变形马蒂厄函数
bianxingniudunfa 变形牛顿法
bianxingoulafa 变形欧拉法
bianxingtuoyuan 变形椭圆
bianyichengxu 编译程序
bianyixishu 变异系数
bianyuan 边缘
bianyuanfenbu 边缘分布
bianyuanfenbuhanshu 边缘分布函数
bianyuanfenbumiduhanshu 边缘分布密度函数
bianyuanji 边缘集
bianyuanlian 边缘链
bianyuanmidu 边缘密度
bianyuansiranhanshu 边缘似然函数
bianyuansuanzi 边缘算子
bianyuantongtai 边缘同态
bianyuanxingshi 边缘形式
bianyuanyingshe 边缘映射
bianyuanyuansu 边缘元素
bianyuanyunsuan 边缘运算
bianzhengfa 辩证法
bianzhiguanxi 边值关系
bianzhitiaojian 边值条件
bianzhiwenti 边值问题
bianzhuose 边着色
bianzitu 边子图
biaodubianhuanfa 标度变换法
biaoduyinzi 标度因子
biaoguanguiji 表观轨迹
biaoguanli 表观力
biaohao 标号
biaohaotu 标号图
biaojihanshu 标记函数
biaojia 标架
biaojiacong 标架丛
biaoliang 标量
biaoliangchang 标量场
biaoliangchengfa 标量乘法
biaolianghua 标量化
biaoliangjuzhen 标量矩阵
biaomian 表面
biaomianzengzhiyinzifangfa 表面增殖因子方法
biaoqian 标签
biaoshi 表示
biaoshidu 表示度
biaoshihanshu 表示函数
biaoshihanzi 表示函子
biaoshikongjian 表示空间
biaoshilun 表示论
biaoshimo 表示模
biaoshitu 表示图
biaoshiyu 表示域
biaoyin 标引
biaozhi 表值
biaozhi 标志
biaozhibianyidu 标志变异度
biaozhidianguocheng 标值点过程
biaozhun 标准
biaozhunbianfenfangcheng 标准变分方程
biaozhunbianfenwenti 标准变分问题
biaozhuncancha 标准残差
biaozhuncha 标准差
biaozhundanxiangshi 标准单项式
biaozhundanxing 标准单形
biaozhundengyamian 标准等压面
biaozhunfangcheng 标准方程
biaozhunfenjie 标准分解
biaozhunfenjieshi 标准分解式
biaozhunfuxing 标准复形
biaozhungao 标准高
biaozhunguocheng 标准过程
biaozhunhanshu 标准函数
biaozhunhengdengshi 标准恒等式
biaozhunhua 标准化
biaozhunhuazhengtaibianliang 标准化正态变量
biaozhunhuazhengtaifenbu 标准化正态分布
biaozhunhuiguixishu 标准回归系数
biaozhunjie 标准解
biaozhunlicha 标准离差
biaozhunmantaishe 标准满态射
biaozhunmoxing 标准模型
biaozhuntongtai 标准同态
biaozhuntuopu 标准拓扑
biaozhunweifenfangchengzu 标准微分方程组
biaozhunwucha 标准误差
biaozhunxiang 标准象
biaozhunxing 标准型
biaozhunxingduice 标准型对策
biaozhunxingwenti 标准形问题
biaozhunxulie 标准序列
biaozhunyangben 标准样本
biaozhunyingshe 标准映射
biaozhunyuan 标准元
biaozhunyundongfangcheng 标准运动方程
biaozhunzhengjiaohua 标准正交化
biaozhunzhengjiaohuaguocheng 标准正交化过程
biaozhunzhengjiaohuaji 标准正交化基
biaozhunzhengjiaoji 标准正交基
biaozhunzhengjiaoxing 标准正交性
biaozhunzhengjiaoxulie 标准正交序列
biaozhunzhengtaifenbu 标准正态分布
biaozhunzuobiao 标准坐标
biaozuoyefa 表作业法
bingbange 并半格
bingbiaoshi 并表示
bingbukeyueyuan 并不可约元
binghao 并号
bingji 并集
bingjigongli 并集公理
bingliansuanfa 并联算法
bingtai 病态
bingtaiduoxiangshi 病态多项式
bingtaifangcheng 病态方程
bingtaihanshu 病态函数
bingtaijuzhen 病态矩阵
bingtaizhen 病态阵
bingtu 饼图
bingwuqiongfenpei 并无穷分配
bingxiangliang 并向量
bingxiangliangji 并向量积
bingxingjinwei 并行进位
bingxingyunsuan 并行运算
bingyunsuan 并运算
bochang 波长
bodongfangcheng 波动方程
bodonglixue 波动力学
boen 玻恩
boensaidewenti 伯恩赛德问题
boensitanduoxiangshi 伯恩斯坦多项式
boerchanuoweiersitelasidingli 波尔察诺维尔斯特拉斯定理
boerjinhua 玻尔紧化
boersifa 波饵似法
boerziman 玻耳兹曼
boerzimanchangshu 玻耳兹曼常数
boerzimandinglv 玻耳兹曼定律
boerzimanfangcheng 玻耳兹曼方程
boerzimantongji 玻耳兹曼统计
boerzimantongjifa 玻耳兹曼统计法
bogefangcheng 伯格方程
bogemanduliang 伯格曼度量
bogemankongjian 伯格曼空间
bogemansuanzi 伯格曼算子
bohamoweifenfangcheng 波哈默微分方程
bohanshu 波函数
bohenajifen 博赫纳积分
boji 薄集
bokehuofuchazhi 伯克霍夫插值
bokesi 博克斯
bolaiercedu 波莱尔测度
bolaierji 波莱尔集
bolaierkecehanshu 波莱尔可测函数
bolaierkehejishu 波莱尔可和级数
bolaierlebeigefugaidingli 波莱尔勒贝格覆盖定理
bolaierliwaizhi 波莱尔例外值
bolaierqun 波莱尔群
bolaieryu 波莱尔域
bolaierziqun 波莱尔子群
boleierfenceng 博雷尔分层
boleierji 博雷尔集
boleierkecehanshu 博雷尔可测函数
boleierziqun 博雷尔子群
boliyajishudingli 波利亚计数定理
bonulibudengshi 伯努利不等式
bonulidiedaifa 伯努利迭代法
bonuliduoxiangshi 伯努利多项式
bonulifa 伯努利法
bonulifangcheng 伯努利方程
bonulifenbu 伯努利分布
bonulifenge 伯努利分割
bonulishiyan 伯努利试验
bonulishu 伯努利数
bonulishuangniuxian 伯努利双纽线
bonulituiyi 伯努利推移
bonuliweifenfangcheng 伯努利微分方程
boqianji 波前集
bosisitanbudengshi 伯思斯坦不等式
bosisitanduoxiangshi 伯思斯坦多项式
bositenikefuxi 波斯特尼科夫系
bosong 泊松
bosongbi 泊松比
bosongfangcheng 泊松方程
bosongfenbu 泊松分布
bosonggongshi 泊松公式
bosongguocheng 泊松过程
bosonghe 泊松核
bosongjie 泊松解
bosongkuohao 泊松括号
bosongliqun 泊松李群
bosongqiuhegongshi 泊松求和公式
bosongqiuji 泊松求积
bosongsuijicedu 泊松随机测度
bosongyundong 泊松运动
boyi 博弈
boyilun 博奕论
bozhuangti 波状体
bubian 不变
bubiancedu 不变测度
bubianceduwenti 不变测度问题
bubianduoxiangshi 不变多项式
bubianfenbuzu 不变分布族
bubianguji 不变估计
bubianhuanmian 不变环面
bubianji 不变集
bubianjianding 不变检定
bubianjianyan 不变检验
bubianjuecehanshu 不变决策函数
bubiankaituo 不变开拓
bubianliziqun 不变李子群
bubianliang 不变量
bubianlianglilun 不变量理论
bubianliuxing 不变流形
bubianpingjun 不变平均
bubianqianru 不变嵌入
bubianshi 不变式
bubianshijian 不变事件
bubianshu 不变数
bubiansuijibianliang 不变随机变量
bubiantongjiliang 不变统计量
bubianxing 不变性
bubianxingdingli 不变性定理
bubianyinzi 不变因子
bubianyinzilixiang 不变因子理想
bubianyuan 不变元
bubianyuanli 不变原理
